name,brand,price,color,description,numberOfPurchases,category,type,imgUrl
Спортивные стельки для бега BAUERFEIND GloboTec Comfort Sports Run,BAUERFEIND,11490,,"<p>
	 Спортивные ортопедические стельки <b>BAUERFEIND GloboTec Comfort Sports Run</b> специально предназначены для занятий беговыми видами спорта и учитывают специфику нагрузки на стопу. Также прекрасно подходят и для активного отдыха.
</p><p>
	 Они учитывают особенности нагрузок и движений во время бега, поддерживают свод стопы, снимают напряжение со связок и сухожилий, а также уменьшат боли в коленных и тазобедренных суставах за счет их разгрузки. В стельках используется технология PowerWave®, которая исключает возможный стресс для стопы из-за резких переходов от более плотного материала к более мягкому (используется волнообразное соединение материалов).
</p><p>
	 Эти ортопедические беговые стельки эффективно уменьшают нагрузку на связки, кости и мышцы стопы, а также на весь опорно-двигательный аппарат в целом, особенно на колени, тазобедренные суставы и позвоночник.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/c83/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/alor8jy4tptta2w0o5go146dhqabna1l.jpeg
Ортопедические стельки для занятий игровыми видами спорта BAUERFEIND GloboTec Comfort Sports Play,BAUERFEIND,11490,,"<p>
 <b>Спортивные ортопедические стельки BAUERFEIND GloboTec Comfort Sports Play</b> специально предназначены для занятий игровыми видами спорта. Они учитывают специфику нагрузки на стопу, также прекрасно подходят и для активного отдыха.
</p><p>
	 Они учитывают особенности нагрузок и движений во время игры, поддерживают свод стопы, снимают напряжение со связок и сухожилий, а также уменьшают боли в коленных и тазобедренных суставах за счет их разгрузки.
</p><p>
	 В стельках используется технология PowerWave®, которая исключает возможный стресс для стопы из-за резких переходов от более плотного материала к более мягкому (используется волнообразное соединение материалов).
</p><p>
	 Ортопедические стельки эффективно уменьшают нагрузку на связки, кости и мышцы стопы, а также на весь опорно-двигательный аппарат в целом, особенно на колени, тазобедренные суставы и позвоночник.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/11e/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/nys4q85btg7d1pg9zedeyxxabo2mljah.jpeg
Стельки ORTMANN Mesin,ORTMANN,3843,бесцветный,"<p>
	 Ортопедические стельки <b>ORTMANN SolaMed Mesin</b> изготовлены из прочного и износостойкого медицинского силикона, подходят для всех типов обуви. Для максимально комфортной поддержки стоп в стельках используется гипоаллергенный силикон двух различных уровней жёсткости. Благодаря этому основная часть стельки оказывает умеренную поддержку сводов, а в зонах повышенных нагрузок расположены вставки из особо мягкого силикона, предотвращающего перегрузку и натирание стоп. Они особенно рекомендованы для чувствительной стопы: эффективно уменьшают ударную нагрузку во время ходьбы и предотвращают появление боли и дискомфорта на фоне сухости и трещин на подошве стопы.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/db8/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/03oc6wx49mgokzdd71lhokubzcb26y96.jpeg
Спортивные стельки для занятий игровыми видами спорта BAUERFEIND ErgoPad Ball&amp;Racket,BAUERFEIND,11990,синий,"<p>
 <b>Bauerfeind</b> – международный лидер в области инноваций, медицинской эффективности и качества изделий медицинского назначения. Ортопедические изделия для стопы Bauerfeind – это уникальные решения для снятия нагрузки, уменьшения боли и дискомфорта в области стопы.
</p><p>
	 Конструкция ортопедических стелек <b>BAUERFEIND ErgoPad Ball&amp;Racket</b> специально разработана ведущими специалистами компании BAUERFEIND и учитывает особенности нагрузок и движений во время занятий игровыми видами спорта, повышая устойчивость стопы и предотвращая супинационные травмы.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/0b1/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/fxqcdo3sh8w9a18og90kaakg0mkcu1sz.jpeg
Спортивные стельки для бега BAUERFEIND Ergopad Run&Walk,BAUERFEIND,11990,синий,"<p>
 <b>Bauerfeind</b> – международный лидер в области инноваций, медицинской эффективности и качества изделий медицинского назначения. Ортопедические изделия для стопы Bauerfeind – это уникальные решения для снятия нагрузки, уменьшения боли и дискомфорта в области стопы.
</p><p>
	 Уникальная конструкция ортопедических стелек <b>Ergopad Run&amp;Walk</b> учитывает особенности нагрузок и движений во время активной ходьбы и бега, поддерживает свод стопы, снимает напряжение со связок и сухожилий, а также уменьшает боли в спине, коленных и тазобедренных суставах за счёт снижения ударной нагрузки.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/e0e/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/oh6ig0mbshkjn5glmx5g97uc1ejws88p.jpeg
Ортопедические стельки для зимних видов спорта BAUERFEIND Ergopad Ski&Skate,BAUERFEIND,11490,оранжевый,"<p>
 <b>Стельки ортопедические ErgoPad Ski&amp;Skate</b> cозданы специально для эффективной поддержки стопы во время занятий зимними видами спорта. Уникальная конструкция стелек помогает правильно распределить нагрузку на стопу во время занятий спортом. Особые зоны внутри стелек тренируют мышцы стопы и голеностопного сустава, что снижает риск подвывиха ноги при занятиях зимними видами спорта. Специально разработанный верхний слой покрытия стелек обеспечивает комфорт и защищает ноги от холода. Ультратонкие стельки можно использовать в любой зимней спортивной обуви.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/2f3/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/ccd4h539pprx288q0219j67r9rac8li0.jpeg
Спортивные стельки для уменьшения нагрузки на позвоночник ProFEET Active,ProFEET,2990,черный,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/d73/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/r6bv59tvxpss1s7yd9q05yn9c87i0alj.jpeg
Ортопедические стельки ORTMANN SOFT PROTECT,ORTMANN,5690,синий,"<p>
	 Специальные ортопедические стельки <b>SOFT PROTECT</b> от бренда ORTMANN — новые ортопедические стельки для лечения и профилактики пяточной шпоры (плантарного фасциита) и натоптышей.
</p><p>
	 Конструкция стелек SOFT PROTECT способствует снижению боли в пяточной области благодаря продлённому ударопоглощающему пяточному амортизатору, амортизатору и амортизирующему элементу. Ортопедические стельки бережно и мягко удерживают пяточную область стопы в правильном положении благодаря специальному карбоновому каркасу и усилителю каркаса. Покрытие из микрофибры со слоем «дышащего» материала способствуют повышению комфорта при ходьбе и снижению боли. Высокий метатарзальный пелот дополнительно поддерживает и разгружает поперечный свод стопы, снижая боль и дискомфорт в переднем отделе стопы.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/eb8/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/gqiriv2qymctomcn410oo9kikyzydc4e.jpg
Спортивные стельки для занятия силовыми видами спорта ORTMANN Fortius,ORTMANN,4690,серый,"<p>
	 Ортопедические каркасные стельки <b>ORTMANN FORTIUS</b> станут лучшим помощником для любителей спорта, благодаря своей уникальной «сэндвич-конструкции» из 5-ти слоев. В стельку встроен жесткий Х-образный каркас, поддерживающий продольный свод стопы. Также спортивная стелька оснащена гелевой амортизирующей вставкой в области плюсны, которая снижает нагрузку с переднего отдела стопы, и гелевой пяточной вставкой, которая прекрасно снимает ударную нагрузку. Модель ортопедических стелек&nbsp;<b>ORTMANN FORTIUS&nbsp;</b>подходит как для профилактики, так и для лечения плоскостопия начальных стадий развития.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/c16/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/helt311z39kfjtw5sxgfiniv4taryphc.jpeg
Спортивные стельки для занятия беговыми видами спорта ORTMANN Citius,ORTMANN,4690,черный,"<p>
	 Ортопедические стельки с поддержкой продольного свода стопы <b>ORTMANN CITIUS</b> обеспечивают дополнительный контроль и защиту суставов ног и позвоночника от ударных нагрузок во время занятий спортом. Стельки <b>ORTMANN CITIUS</b> помогают правильно распределять нагрузку на стопы, что особенно важно при активных занятиях такими видами спорта, как лёгкая атлетика, футбол, волейбол, баскетбол и т. п.
</p><p>
	 Продуманная конструкция ортопедической стельки и инновационные материалы защищают от травм, повышают эффективность тренировок, позволяют добиться лучших результатов в спорте без компромиссов со здоровьем ног и позвоночника. Двойной пяточный амортизатор из геля и вязко-эластичной пены, а также амортизирующая вставка в переднем отделе эффективно смягчают удары. Покрытие из полиэстера, полиуретановая пена с открытыми ячейками и антибактериальный слой способствуют поддержанию правильного микроклимата в обуви даже при интенсивных тренировках. Вязко-эластичная пена с эффектом памяти формы и противоскользящий рисунок наружной части стелек обеспечивают дополнительное удобство при использовании.
</p><p>
	 Почувствуйте исключительный комфорт в вашей любимой спортивной обуви со стельками <b>ORTMANN CITIUS</b>!
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/c4a/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/hxxwd9z9osnyygh0248f97vpi1an305l.jpg
Индивидуальные ортопедические спортивные стельки ORTMANN PRO SPORT,ORTMANN PRO,12290,,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/a76/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/tay9wozmnmqo7jdmpj50q31e3qwnboog.jpg
Индивидуальные ортопедические кожаные стельки повышенного комфорта ORTMANN PRO Leather Soft,ORTMANN PRO,12290,,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/5f3/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/426ao23kav83ev0b1gtt26msjin2h2dg.jpeg
Детские индивидуальные ортопедические кожаные стельки ORTMANN PRO Leather Soft Kids,ORTMANN PRO,7690,,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/9d2/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/dnts60vlwqjclkck8ytgpfvjbiby29ps.jpeg
Индивидуальные ортопедические кожаные полустельки для модельной обуви ORTMANN PRO Leather Short,ORTMANN PRO,8790,,,0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/45f/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/9gtd8gv0sojb4qfi7qhigwkknckct9tu.jpeg
Индивидуальные зимние ортопедические стельки ORTMANN PRO Winter,ORTMANN PRO,10190,,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/5f6/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/zhk9nffgadocvski1sd9mp70bp7tsikq.jpeg
Детские зимние ортопедические стельки при плоско-вальгусных стопах  ORTMANN Joy Winter,ORTMANN,2303,зеленый,"<p>
	 Детские зимние ортопедические стельки при плоско-вальгусных стопах&nbsp;<b>Ortmann SolaMed Joy Winter</b> станут незаменимым решением на каждый день!
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/6b2/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/2ay4n3vy9tx2dzxzsllzm6lv53v03h9r.png
Зимние ортопедические шерстяные стельки для профилактики плоскостопия ORTMANN Lana,ORTMANN,3390,бежевый,"<p>
	 В холодное время года хочется, чтобы ноги всегда были в тепле и комфорте. Для этого прекрасно подойдут ортопедические каркасные стельки <b>ORTMANN LANA</b> из натуральной овечьей шерсти. Данная модель подойдет для профилактики и лечения начальных этапов развития плоскостопия. Благодаря специальной конструкции и метатарзальному пелоту, ортопедические стельки эффективно разгружают передний отдел стопы, а специальный амортизатор снижает ударную нагрузку на пяточную область. Каркас стельки защищает и поддерживает продольный свод и перераспределяет нагрузку на стопу, а алюминиевый слой эффективно сохраняет тепло ваших ног.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/406/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/m3ig7sgzrglrumu2pbmehaw2pixch1cy.jpeg
Зимние ортопедические шерстяные стельки для профилактики плоскостопия ORTMANN Lana,ORTMANN,3390,черный,"<p>
	 В холодное время года хочется, чтобы ноги всегда были в тепле и комфорте. Для этого прекрасно подойдут ортопедические каркасные стельки <b>ORTMANN LANA</b> из натуральной овечьей шерсти. Данная модель подойдет для профилактики и лечения начальных этапов развития плоскостопия. Благодаря специальной конструкции и метатарзальному пелоту, ортопедические стельки эффективно разгружает передний отдел стопы, а специальный амортизатор снижает ударную нагрузку на пяточную область. Каркас стельки защищает и поддерживает продольный свод и перераспределяет нагрузку на стопу, а алюминиевый слой эффективно сохраняет тепло ваших ног.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/72b/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/uh7712jn3gqtpb11qkxz8mr12dxcrrtl.jpeg
Детские ортопедические стельки от плоскостопия и сколиоза BAUERFEIND GloboTec Junior,BAUERFEIND,7190,,,0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/d98/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/1fmcmpu9kj769tf5sdo1chcpsyq3zbc8.jpeg
ортопедические стельки SURSIL-ORTHO ACTIV ARCH SUPPORT SO-M10-172,SURSIL-ORTHO,1550,серый,"<p>
 <b>Детские ортопедические каркасные стельки ACTIV ARCH SUPPORT</b> применяются для профилактики и лечения комбинированного плоскостопия, дарят лёгкость и комфорт стопам в течение всего дня. Ортопедические стельки помогут уменьшить дискомфорт при ходьбе, поддержат продольный свод стопы и снимут ощущение усталости ног.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/3ac/600_600_1d8f616e6dafd84ca6b85089cc850afe3/bhbfqg536lhgku2aq9wr3ncf3art1qm8.jpg
Ортопедические кожаные стельки при продольном плоскостопии III-IV степени ORTMANN Elegant,ORTMANN,1813,бежевый,"<p>
	 Ортопедические бескаркасные стельки <b>ORTMANN ELEGANT</b> обеспечат мягкую поддержку и правильное перераспределение нагрузки на стопу, что подарит ощущение максимального комфорта на протяжении всего дня.&nbsp;
</p><p>
	 Данная модель предназначена при продольном и комбинированном плоскостопии средней и тяжелой степени. Эластичный каркас для поддержки продольного и поперечного свода стопы бережно выполняет свою функцию, что очень важно при выраженной стадии плоскостопия.&nbsp;
</p><p>
	 Стельки оборудованы полимерными точками системы противоскольжения Antislip System и прекрасно фиксируются в обуви. Для максимального комфорта средний слой бескаркасной стельки <b>ORTMANN ELEGANT&nbsp;</b>выполнен из карбона, который поглощает неприятные запахи и обеспечивает оптимальный микроклимат вашей обуви.
</p><p>
 <b>Показания к применению стелек ORTMANN ELEGANT</b>:
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/751/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/3z5t7xaeuoi226sv591ctnikuy61065w.jpeg
Детские летние профилактические стельки ORTMANN Dynamic,ORTMANN,1813,белый,"<p>
	 Подарите вашему ребенку радость и комфорт движений во время активных игр и занятий спортом! Ортопедические стельки <b>ORTMANN DYNAMIC</b> эффективно поддержат стопы и помогут вашему ребенку заниматься спортивными играми гораздо легче и удобнее.&nbsp;
</p><p>
	 Лёгкие и прочные детские ортопедические стельки обеспечат правильное распределение нагрузки на стопу ребенка во время занятий активными видами спорта, защищая мышцы от перенапряжения и уменьшая усталость ног. Специальный амортизатор в пяточной области надёжно смягчит ударные нагрузки на позвоночник и суставы при высокой физической нагрузки.&nbsp;
</p><p>
	 Уменьшенная жёсткость каркаса по краям стельки обеспечивает сохранение естественной подвижности мышц и связок детской стопы. Покрытие верхнего слоя стельки из 100% хлопка, а также волокна агавы отлично впитывают влагу, пропускают воздух, не вызывают аллергии и раздражения кожи.
</p><p>
 <b>Показания к применению&nbsp;</b><b><span style=""color: #1c1c1c;"">детских стелек ORTMANN DYNAMIC</span></b><b>:</b>
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/36b/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/virfxsosmf66q4nzom83b5zeyv8nv5my.jpeg
Детские ортопедические стельки для профилактики плоскостопия ORTMANN Basic,ORTMANN,1603,зеленый,"<p>
	 Ортопедические стельки&nbsp;<b>ORTMANN</b>&nbsp;<b>SolaMed BASIC</b> предназначены для всех типов детской закрытой обуви с жестким задником. Стельки подходят для любой погоды и сезона (при использовании в обуви по сезону). Вкладываются в обувь к заднику. При изготовлении стельки используется высокотехнологичное покрытие ON STEAM, объединяющее качество кожи и микрофибры.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/c65/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/nsbv9t923t94i3o4f1txuuvf0ygmning.jpg
Ортопедические кожаные стельки при продольном плоскостопии III-IV степени ORTMANN Elegant,ORTMANN,1813,черный,"<p>
	 Ортопедические бескаркасные кожаные стельки <b>ORTMANN ELEGANT</b> обеспечат мягкую поддержку и правильное перераспределение нагрузки на стопу, что подарит ощущение максимального комфорта на протяжении всего дня.&nbsp;
</p><p>
	 Данная модель предназначена при продольном и комбинированном плоскостопии средней и тяжелой степени. Эластичный каркас для поддержки продольного и поперечного свода стопы бережно выполняет свою функцию, что очень важно при выраженной стадии плоскостопия.&nbsp;
</p><p>
	 Ортопедические стельки&nbsp;<b>ORTMANN ELEGANT&nbsp;</b>оборудованы полимерными точками противоскольжения Antislip System и прекрасно фиксируются в обуви. Для максимального комфорта средний слой стельки выполнен из карбона, который поглощает неприятные запахи и обеспечивает оптимальный микроклимат вашей обуви.
</p><p>
 <b>Показания к применению&nbsp;</b><b><span style=""color: #1c1c1c;"">стелек ORTMANN ELEGANT</span></b><b>:</b>
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/fb5/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/hu3lmsk3r22fywb4t41wilbck6vqup7l.jpeg
Летние ортопедические профилактические стельки ORTMANN Spira,ORTMANN,2490,белый,"<p>
	 Ощутите максимальный комфорт и легкость в каркасных ортопедических стельках <b>ORTMANN SPIRA</b> с верхним слоем из 100% хлопчатобумажного текстиля! Нижний слой изготовлен из натуральных волокон кокосовой койры, которые обеспечивают прекрасную циркуляцию воздуха, создают комфортный микроклимат в обуви и не накапливают статическое электричество. Для лучшей амортизации в данной модели установлен слой из вспененного полимера.
</p><p>
	 Летние ортопедические стельки <b>ORTMANN Spira</b> подойдут для профилактики и лечения начальных этапов плоскостопия. Благодаря метатарзальному пелоту, стельки эффективно разгружают передний отдел стопы, а специальный амортизатор снижает ударную нагрузку на пяточную область. Каркас защищает и поддерживает продольный свод стопы и правильно перераспределяет нагрузку.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/fbe/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/3aprbq34y4i60ojrztgn3sp7lal1qe46.jpeg
Летние ортопедические профилактические стельки ORTMANN Spira,ORTMANN,2490,черный,"<p>
	 Ощутите максимальный комфорт и легкость в каркасных ортопедических стельках <b>ORTMANN SPIRA</b> с верхним слоем из 100% хлопчатобумажного текстиля! Нижний слой изготовлен из натуральных волокон кокосовой койры, которые обеспечивают прекрасную циркуляцию воздуха, создают комфортный микроклимат в обуви и не накапливают статическое электричество. Для лучшей амортизации в данной модели установлен слой из вспененного полимера.
</p><p>
	 Летние ортопедические стельки <b>ORTMANN Spira</b> подойдут для профилактики и лечения начальных этапов плоскостопия. Благодаря метатарзальному пелоту, стельки эффективно разгружают передний отдел стопы, а специальный амортизатор снижает ударную нагрузку на пяточную область. Каркас защищает и поддерживает продольный свод стопы и правильно перераспределяет нагрузку.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/256/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/sx2wd68fg2xjnoygm5kj5mro6hxthdvk.jpeg
Детские летние ортопедические стельки при плоско-вальгусных стопах ORTMANN Joy,ORTMANN,2583,зеленый,"<p>
	 Патология стопы обычно формируется в детском возрасте. Именно поэтому важно своевременное использование детских ортопедических стелек <b>ORTMANN JOY</b> для предотвращения дальнейшего развития заболеваний стопы. Данная модель летних стелек предназначена для профилактики и лечения плоско-вальгусных стоп и коррекции нефиксированного вальгусного/варусного отклонения пяточного отдела стопы.
</p><p>
	 Ортопедические стельки ORTMANN JOY применяются для коррекции осанки у детей и подростков, а также подходят для реабилитации после травм и операций на стопе и голеностопном суставе. Верхнее покрытие стелек выполнено из микрофибры, что обеспечивает комфорт при ежедневном использовании. Данная модель подходит для всех типов закрытой обуви с задником.
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/21a/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/c3szy7j7pf2vy1sa2o9sbmgk6m7ul2wl.jpeg
Ортопедические кожаные стельки для уменьшения нагрузки на позвоночник ProFEET Balance,ProFEET,2710,бежевый,"<p>
	 Как помочь вашим ногам чувствовать себя комфортно в повседневной обуви в течение всего дня? <b>Ортопедические стельки ProFEET Balance</b> помогут решить эту задачу! Каркас изделия устанавливает и поддерживает стопы в правильном положении. Покрытие из натуральной кожи обеспечивает комфорт, а минимальная толщина стельки позволяет использовать их в деловой и повседневной обуви.
</p><p>
	 ProFEET Balance подарят вашим ногам здоровье на долгие годы и комфорт на каждый день!
</p>",0,Ортопедические стельки,Стельки,https://cdn.orteka.ru//upload/resize_cache/iblock/566/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/nnrhomztktr9scs760d98nwy3vomoov4.jpeg
Ортопедические кожаные полустельки для модельной обуви при поперечном плоскостопии I-II степени ORTMANN Сomfort,ORTMANN,1113,бежевый,"<p>
	 Ортопедические кожаные полустельки <b>Ortmann SolaPro Comfort</b> предназначены для использования при распластанности переднего отдела стопы 1-2 степени, hallux valgus (вальгусная деформация большого пальца) и натоптышах. Полустельки вкладываются в обувь к заднику.
</p>",0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/964/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/mvxir899kjcnkptbn53yj606upay3wgq.jpg
Ортопедические кожаные полустельки при плоскостопии III-IV степени ORTMANN Relax,ORTMANN,1743,бежевый,"<p>
	 Ортопедические кожаные полустельки <b>Ortmann SolaComfort Relax </b> предназначены для использовании при продольном и комбинированном плоскостопии 3-4 степени. Полустельки бескаркасные (сводоподдерживающие) предназначены для закрытой обуви с каблуком до 4 см и жестким задником.
</p>",0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/7cd/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/9lq8ss5kz6bglp2l11nucjustl8i4bnd.jpg
Ортопедические профилактические кожаные полустельки для модельной обуви ORTMANN Viva Mini,ORTMANN,1603,бежевый,"<p>
	 Ортопедические профилактические полустельки <b>Ortmann SolaPro Viva Mini</b> – качественные каркасные (сводоформирующие) полустельки для всех типов обуви с каблуком до 4 см. Покрытие полустельки изготовлено из натуральной кожи, что позволяет им впитывать влагу, поглощать запах и поддерживать здоровое состояние кожи стоп. Полустельки имеют каркас продольного свода стопы, который поддерживает продольный свод и перераспределяет нагрузку по стопе. Метатарзальный пелот и амортизатор позволяет снизить ударную нагрузку и обеспечить комфорт и лёгкость при ходьбе.
</p>",0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/c60/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/oso9qq39i4d9ad23jzdanz3rc2jcup28.jpg
Ортопедические профилактические кожаные полустельки для модельной обуви ORTMANN Minima,ORTMANN,2093,бежевый,"<p>
	 Кожаные ортопедические каркасные полустельки <b>ORTMANN MINIMA</b> станут незаменимым решением на каждый день для профилактики и лечения плоскостопия на начальных этапах развития. Это универсальная модель за счёт своей формы отлично подойдет для обуви с открытым мысом. При этом стелька сохранила все важные характеристики, необходимые для правильной разгрузки стопы на протяжении всего дня. Метатарзальный пелот равномерно распределяет нагрузку переднего отдела стопы, что особо значимо&nbsp;в том числе при поперечном плоскостопии и его осложнениях – «косточки» большого пальца стопы. Каркас продольного свода защищает и поддерживает стопу в правильном положении, а пяточный амортизатор снижает ударную нагрузку на пяточную область. Таким образом, вес тела при статической или динамической нагрузке равномерно распределяется по всей стопе.
</p>",0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/852/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/1q5w78uve9gkwwo12bvqs7tgm5oyxqha.jpg
Ортопедические профилактические кожаные полустельки для модельной обуви ORTMANN Minima,ORTMANN,2093,черный,"<p>
	 Кожаные ортопедические каркасные полустельки <b>ORTMANN MINIMA</b> станут незаменимым решением на каждый день для профилактики и лечения плоскостопия на начальных этапах развития. Это универсальная модель благодаря своей форме отлично подойдет для обуви с открытым мысом. При этом стелька сохранила все важные характеристики, необходимые для правильной разгрузки стопы на протяжении всего дня. Метатарзальный пелот равномерно распределяет нагрузку переднего отдела стопы, что особо значимо&nbsp;в том числе при поперечном плоскостопии и его осложнениях – «косточки» большого пальца стопы. Каркас продольного свода защищает и поддерживает стопу в правильном положении, а пяточный амортизатор снижает ударную нагрузку на пяточную область. Таким образом, вес тела при статической или динамической нагрузке равномерно распределяется по всей стопе.
</p>",0,Ортопедические стельки,Полустельки,https://cdn.orteka.ru//upload/resize_cache/iblock/573/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/wpgkg9hzyzd59jzdztscheu88k45n0fs.jpg
Ортез на коленный сустав BAUERFEIND GenuTrain 8 поколение,BAUERFEIND,14990,,"<p>
 <b>GenuTrain®</b>–&nbsp;флагманское изделие компании Bauerfeind!
</p><p>
	 Изделие <u>не имеет</u> аналогов на рынке и постоянно совершенствуется с момента его запуска в 1981 году.
</p><p>
	 Новый и улучшенный <b>GenuTrain® 8 поколения</b> обеспечивает надежную поддержку, снимает боль и отек коленного сустава.
</p><p>
 <b>GenuTrain®</b> поможет вам восстановить уверенные движения в коленном суставе и улучшить координацию.
</p>",0,Ортопедические изделия,ортез,https://cdn.orteka.ru//upload/resize_cache/iblock/7a7/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/leavpwftmga8aguslgry0801p5y2t0x4.jpg
Корсет поясничный BAUERFEIND LordoLoc,BAUERFEIND,19990,,"<p>
 <b>Поясничный корсет BAUERFEIND LordoLoc</b> - эффективный современный стабилизирующий ортез для разгрузки поясничного отдела позвоночника. Ортез на поясничный отдел позвоночника прекрасно подходит для стабилизации поясницы, например, при хроническом люмбаго или при слабости и нестабильности мышц. Корсет для поясничного отдела оборудован четырьмя интегрированными рёбрами жёсткости анатомической формы, выполненными из гибкого алюминия. Активирует мышцы и снимает нагрузку на позвоночник.
</p>",0,Ортопедические изделия,корсет,https://cdn.orteka.ru//upload/resize_cache/iblock/16d/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/16d409287282ffcc647a3302272a3677.jpg
